Transaction Hash,Status,Method,BlockNo,DateTime (UTC),From,From_Nametag,To,To_Nametag,Type,Item,Quantity
"0x5cd7df62ccb93031781a587cf5082bffe930deb4d692339fb648fc7d98305830","Success","Trade","84960187","2026-04-01 10:46:51","0x4bFb41d5B3570DeFd03C39a9A4D8dE6Bd8B8982E","Polymarket: CTF Exchange","0x751a2b86caB503496eFD325c8344E10159349eA1","Polymarket: Sharky6999","ERC-1155","","499949950"
"0x5cd7df62ccb93031781a587cf5082bffe930deb4d692339fb648fc7d98305830","Success","Trade","84960187","2026-04-01 10:46:51","0xE3f18aCc55091e2c48d883fc8C8413319d4Ab7b0","Polymarket: Fee Module","0x751a2b86caB503496eFD325c8344E10159349eA1","Polymarket: Sharky6999","ERC-1155","","50050"
"0xdd12f76c2657d75f4af12257e5dda2d7b4a576a82dc0274b8e7a9fd55ce07d05","Success","Trade","84959726","2026-04-01 10:31:29","0x4bFb41d5B3570DeFd03C39a9A4D8dE6Bd8B8982E","Polymarket: CTF Exchange","0x751a2b86caB503496eFD325c8344E10159349eA1","Polymarket: Sharky6999","ERC-1155","","41105885"
"0xdd12f76c2657d75f4af12257e5dda2d7b4a576a82dc0274b8e7a9fd55ce07d05","Success","Trade","84959726","2026-04-01 10:31:29","0xE3f18aCc55091e2c48d883fc8C8413319d4Ab7b0","Polymarket: Fee Module","0x751a2b86caB503496eFD325c8344E10159349eA1","Polymarket: Sharky6999","ERC-1155","","4115"
"0xcbcbd31364e67e7f484ba7851a3c05068eb8396ae1b9f20407d3c4e549f98f00","Success","Trade","84959719","2026-04-01 10:31:15","0x4bFb41d5B3570DeFd03C39a9A4D8dE6Bd8B8982E","Polymarket: CTF Exchange","0x751a2b86caB503496eFD325c8344E10159349eA1","Polymarket: Sharky6999","ERC-1155","","7609239"
"0xcbcbd31364e67e7f484ba7851a3c05068eb8396ae1b9f20407d3c4e549f98f00","Success","Trade","84959719","2026-04-01 10:31:15","0xE3f18aCc55091e2c48d883fc8C8413319d4Ab7b0","Polymarket: Fee Module","0x751a2b86caB503496eFD325c8344E10159349eA1","Polymarket: Sharky6999","ERC-1155","","761"
"0x89127a5ea54ec1586e4659bca3410ec9f7a1168cee9567170f5d823bed29c847","Success","Trade","84959702","2026-04-01 10:30:41","0x4bFb41d5B3570DeFd03C39a9A4D8dE6Bd8B8982E","Polymarket: CTF Exchange","0x751a2b86caB503496eFD325c8344E10159349eA1","Polymarket: Sharky6999","ERC-1155","","11318556"
"0x89127a5ea54ec1586e4659bca3410ec9f7a1168cee9567170f5d823bed29c847","Success","Trade","84959702","2026-04-01 10:30:41","0xE3f18aCc55091e2c48d883fc8C8413319d4Ab7b0","Polymarket: Fee Module","0x751a2b86caB503496eFD325c8344E10159349eA1","Polymarket: Sharky6999","ERC-1155","","11444"
"0x3d0becea82573355dc58c5435d1e9d1da092c556db6c503a5f66b79fcff83696","Success","Trade","84959694","2026-04-01 10:30:25","0xE3f18aCc55091e2c48d883fc8C8413319d4Ab7b0","Polymarket: Fee Module","0x751a2b86caB503496eFD325c8344E10159349eA1","Polymarket: Sharky6999","ERC-1155","","700700"
"0x3d0becea82573355dc58c5435d1e9d1da092c556db6c503a5f66b79fcff83696","Success","Trade","84959694","2026-04-01 10:30:25","0x4bFb41d5B3570DeFd03C39a9A4D8dE6Bd8B8982E","Polymarket: CTF Exchange","0x751a2b86caB503496eFD325c8344E10159349eA1","Polymarket: Sharky6999","ERC-1155","","6999299300"
