Transaction Hash,Status,Method,BlockNo,DateTime (UTC),From,From_Nametag,To,To_Nametag,Amount,Value (USD),Token
"0x5cd7df62ccb93031781a587cf5082bffe930deb4d692339fb648fc7d98305830","Success","Trade","84960187","2026-04-01 10:46:51","0x751a2b86cab503496efd325c8344e10159349ea1","Polymarket: Sharky6999","0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e","Polymarket: CTF Exchange","499.5","$499.50","USD Coin (PoS)(USDC.e)"
"0xdd12f76c2657d75f4af12257e5dda2d7b4a576a82dc0274b8e7a9fd55ce07d05","Success","Trade","84959726","2026-04-01 10:31:29","0x751a2b86cab503496efd325c8344e10159349ea1","Polymarket: Sharky6999","0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e","Polymarket: CTF Exchange","41.06889","$41.07","USD Coin (PoS)(USDC.e)"
"0xcbcbd31364e67e7f484ba7851a3c05068eb8396ae1b9f20407d3c4e549f98f00","Success","Trade","84959719","2026-04-01 10:31:15","0x751a2b86cab503496efd325c8344e10159349ea1","Polymarket: Sharky6999","0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e","Polymarket: CTF Exchange","7.60239","$7.60","USD Coin (PoS)(USDC.e)"
"0x89127a5ea54ec1586e4659bca3410ec9f7a1168cee9567170f5d823bed29c847","Success","Trade","84959702","2026-04-01 10:30:41","0x751a2b86cab503496efd325c8344e10159349ea1","Polymarket: Sharky6999","0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e","Polymarket: CTF Exchange","11.2167","$11.22","USD Coin (PoS)(USDC.e)"
"0x3d0becea82573355dc58c5435d1e9d1da092c556db6c503a5f66b79fcff83696","Success","Trade","84959694","2026-04-01 10:30:25","0x751a2b86cab503496efd325c8344e10159349ea1","Polymarket: Sharky6999","0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e","Polymarket: CTF Exchange","6,993","$6,993.00","USD Coin (PoS)(USDC.e)"
"0x0109c44c9c788bdc1b62aa42d9b3de40b5534c7eb8c4a6e78c05c7df071b5458","Success","Trade","84959694","2026-04-01 10:30:25","0x751a2b86cab503496efd325c8344e10159349ea1","Polymarket: Sharky6999","0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e","Polymarket: CTF Exchange","3,826.17","$3,826.17","USD Coin (PoS)(USDC.e)"
"0x4cd843c3eda8928985d6898062003e56d3a163a858d7dc9a575e5320121c7c5e","Success","Trade","84959691","2026-04-01 10:30:19","0x751a2b86cab503496efd325c8344e10159349ea1","Polymarket: Sharky6999","0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e","Polymarket: CTF Exchange","11.5038","$11.50","USD Coin (PoS)(USDC.e)"
"0xd758a28766abd94c44da9f41a131c87715d69f406a61d376d250b0ff34cd356f","Success","Trade","84959686","2026-04-01 10:30:09","0x751a2b86cab503496efd325c8344e10159349ea1","Polymarket: Sharky6999","0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e","Polymarket: CTF Exchange","4.8609","$4.86","USD Coin (PoS)(USDC.e)"
"0xb60bab003de8de2fa32a7600f3d3fb15b85f599d6b82710b388a9702923d8c69","Success","Trade","84959685","2026-04-01 10:30:07","0x751a2b86cab503496efd325c8344e10159349ea1","Polymarket: Sharky6999","0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e","Polymarket: CTF Exchange","9.2664","$9.27","USD Coin (PoS)(USDC.e)"
"0x198ad2a9581c98759c90c1782a854fac896c0e0d342c8749d28f7f96bae0ca7e","Success","Trade","84959684","2026-04-01 10:30:05","0x751a2b86cab503496efd325c8344e10159349ea1","Polymarket: Sharky6999","0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e","Polymarket: CTF Exchange","1.7127","$1.71","USD Coin (PoS)(USDC.e)"
